ocorrencia,task,info
2023-11-23T17:42:35.647+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:42:44.690+0000,manager.py:854,
2023-11-23T17:42:55.894+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:42:55.895+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:43:15.013+0000,manager.py:854,
2023-11-23T17:43:16.019+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:43:16.021+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:43:36.194+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:43:36.196+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:43:45.273+0000,manager.py:854,
2023-11-23T17:43:56.337+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:43:56.338+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:44:15.447+0000,manager.py:854,
2023-11-23T17:44:16.450+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:44:16.451+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:38:12.815+0000,manager.py:483,Processing files using up to 2 processes at a time 
2023-11-23T17:38:12.819+0000,manager.py:484,Process each file at most once every 30 seconds
2023-11-23T17:38:12.820+0000,manager.py:486,Checking for new files in /opt/airflow/dags every 20 seconds
2023-11-23T17:38:12.820+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:38:12.826+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:38:12.975+0000,manager.py:854,
2023-11-23T17:38:33.212+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:38:33.213+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:38:43.289+0000,manager.py:854,
2023-11-23T17:38:53.341+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:38:53.343+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:39:13.429+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:39:13.430+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:39:13.436+0000,manager.py:854,
2023-11-23T17:39:33.662+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:39:33.664+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:39:43.721+0000,manager.py:854,
2023-11-23T17:39:53.837+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:39:53.838+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:40:13.938+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:40:13.940+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:40:13.952+0000,manager.py:854,
2023-11-23T17:40:34.060+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:40:34.061+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:40:44.103+0000,manager.py:854,
2023-11-23T17:40:55.040+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:40:55.042+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:41:14.139+0000,manager.py:854,
2023-11-23T17:41:15.144+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:41:15.145+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:41:35.246+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:41:35.247+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:41:44.294+0000,manager.py:854,
2023-11-23T17:41:55.432+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:41:55.435+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:42:14.537+0000,manager.py:854,
2023-11-23T17:42:15.541+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:42:15.542+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:42:35.646+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:42:35.647+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:42:44.690+0000,manager.py:854,
2023-11-23T17:42:55.894+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:42:55.895+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:43:15.013+0000,manager.py:854,
2023-11-23T17:43:16.019+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:43:16.021+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:43:36.194+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:43:36.196+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:43:45.273+0000,manager.py:854,
2023-11-23T17:43:56.337+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:43:56.338+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:44:15.447+0000,manager.py:854,
2023-11-23T17:44:16.450+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:44:16.451+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:38:12.815+0000,manager.py:483,Processing files using up to 2 processes at a time 
2023-11-23T17:38:12.819+0000,manager.py:484,Process each file at most once every 30 seconds
2023-11-23T17:38:12.820+0000,manager.py:486,Checking for new files in /opt/airflow/dags every 20 seconds
2023-11-23T17:38:12.820+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:38:12.826+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:38:12.975+0000,manager.py:854,
2023-11-23T17:38:33.212+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:38:33.213+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:38:43.289+0000,manager.py:854,
2023-11-23T17:38:53.341+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:38:53.343+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:39:13.429+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:39:13.430+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:39:13.436+0000,manager.py:854,
2023-11-23T17:39:33.662+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:39:33.664+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:39:43.721+0000,manager.py:854,
2023-11-23T17:39:53.837+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:39:53.838+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:40:13.938+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:40:13.940+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:40:13.952+0000,manager.py:854,
2023-11-23T17:40:34.060+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:40:34.061+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:40:44.103+0000,manager.py:854,
2023-11-23T17:40:55.040+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:40:55.042+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:41:14.139+0000,manager.py:854,
2023-11-23T17:41:15.144+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:41:15.145+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:41:35.246+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:41:35.247+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:41:44.294+0000,manager.py:854,
2023-11-23T17:41:55.432+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:41:55.435+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:42:14.537+0000,manager.py:854,
2023-11-23T17:42:15.541+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:42:15.542+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:42:35.646+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:42:35.647+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:42:44.690+0000,manager.py:854,
2023-11-23T17:42:55.894+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:42:55.895+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:43:15.013+0000,manager.py:854,
2023-11-23T17:43:16.019+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:43:16.021+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:43:36.194+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:43:36.196+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:43:45.273+0000,manager.py:854,
2023-11-23T17:43:56.337+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:43:56.338+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:44:15.447+0000,manager.py:854,
2023-11-23T17:44:16.450+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:44:16.451+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:38:12.815+0000,manager.py:483,Processing files using up to 2 processes at a time 
2023-11-23T17:38:12.819+0000,manager.py:484,Process each file at most once every 30 seconds
2023-11-23T17:38:12.820+0000,manager.py:486,Checking for new files in /opt/airflow/dags every 20 seconds
2023-11-23T17:38:12.820+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:38:12.826+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:38:12.975+0000,manager.py:854,
2023-11-23T17:38:33.212+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:38:33.213+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:38:43.289+0000,manager.py:854,
2023-11-23T17:38:53.341+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:38:53.343+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:39:13.429+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:39:13.430+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:39:13.436+0000,manager.py:854,
2023-11-23T17:39:33.662+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:39:33.664+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:39:43.721+0000,manager.py:854,
2023-11-23T17:39:53.837+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:39:53.838+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:40:13.938+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:40:13.940+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:40:13.952+0000,manager.py:854,
2023-11-23T17:40:34.060+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:40:34.061+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:40:44.103+0000,manager.py:854,
2023-11-23T17:40:55.040+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:40:55.042+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:41:14.139+0000,manager.py:854,
2023-11-23T17:41:15.144+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:41:15.145+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:41:35.246+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:41:35.247+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:41:44.294+0000,manager.py:854,
2023-11-23T17:41:55.432+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:41:55.435+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:42:14.537+0000,manager.py:854,
2023-11-23T17:42:15.541+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:42:15.542+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:42:35.646+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:42:35.647+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:42:44.690+0000,manager.py:854,
2023-11-23T17:42:55.894+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:42:55.895+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:43:15.013+0000,manager.py:854,
2023-11-23T17:43:16.019+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:43:16.021+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:43:36.194+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:43:36.196+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:43:45.273+0000,manager.py:854,
2023-11-23T17:43:56.337+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:43:56.338+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:44:15.447+0000,manager.py:854,
2023-11-23T17:44:16.450+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:44:16.451+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:44:36.738+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:44:36.739+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:44:45.791+0000,manager.py:854,
2023-11-23T17:38:12.815+0000,manager.py:483,Processing files using up to 2 processes at a time 
2023-11-23T17:38:12.819+0000,manager.py:484,Process each file at most once every 30 seconds
2023-11-23T17:38:12.820+0000,manager.py:486,Checking for new files in /opt/airflow/dags every 20 seconds
2023-11-23T17:38:12.820+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:38:12.826+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:38:12.975+0000,manager.py:854,
2023-11-23T17:38:33.212+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:38:33.213+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:38:43.289+0000,manager.py:854,
2023-11-23T17:38:53.341+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:38:53.343+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:39:13.429+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:39:13.430+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:39:13.436+0000,manager.py:854,
2023-11-23T17:39:33.662+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:39:33.664+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:39:43.721+0000,manager.py:854,
2023-11-23T17:39:53.837+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:39:53.838+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:40:13.938+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:40:13.940+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:40:13.952+0000,manager.py:854,
2023-11-23T17:40:34.060+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:40:34.061+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:40:44.103+0000,manager.py:854,
2023-11-23T17:40:55.040+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:40:55.042+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:41:14.139+0000,manager.py:854,
2023-11-23T17:41:15.144+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:41:15.145+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:41:35.246+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:41:35.247+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:41:44.294+0000,manager.py:854,
2023-11-23T17:41:55.432+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:41:55.435+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:42:14.537+0000,manager.py:854,
2023-11-23T17:42:15.541+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:42:15.542+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:42:35.646+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:42:35.647+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:42:44.690+0000,manager.py:854,
2023-11-23T17:42:55.894+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:42:55.895+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:43:15.013+0000,manager.py:854,
2023-11-23T17:43:16.019+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:43:16.021+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:43:36.194+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:43:36.196+0000,manager.py:729,There are 1 files in /opt/airflow/dags
2023-11-23T17:43:45.273+0000,manager.py:854,
2023-11-23T17:43:56.337+0000,manager.py:726,Searching for files in /opt/airflow/dags
2023-11-23T17:43:56.338+0000,manager.py:729,There are 1 files in /opt/airflow/dags
